activity_date,user_id,value
2023-11-05,26.0,7404
2023-11-05,37.0,18714
2023-11-06,97.0,10417
2023-11-02,58.0,499
2023-11-04,25.0,5268
2023-11-05,25.0,5232
2023-11-06,49.0,8965
2023-11-06,8.0,8151
2023-11-06,31.0,8254
2023-11-06,44.0,9437
2023-11-06,17.0,16563
2023-11-06,48.0,10923
2023-11-06,52.0,7913
2023-11-06,78.0,1263
2023-11-06,37.0,36561
2023-11-06,67.0,1717
2023-11-06,80.0,11352
2023-11-06,5.0,6113
2023-11-06,28.0,1220
2023-11-06,36.0,9988
2023-11-06,100.0,2110
2023-11-06,30.0,8496
2023-11-06,25.0,20794
2023-11-07,31.0,11950
2023-11-07,97.0,11048
2023-11-07,52.0,8596
2023-11-07,37.0,19729
2023-11-07,49.0,15452
2023-11-07,8.0,7834
2023-11-07,5.0,3659
2023-11-07,17.0,3474
2023-11-01,61.0,374
2023-11-02,61.0,481
2023-11-03,26.0,9323
2023-11-03,61.0,8
2023-11-04,61.0,2438
2023-11-04,26.0,3169
2023-11-05,61.0,10104
2023-11-06,26.0,8343
2023-11-06,61.0,17
2023-11-07,80.0,11563
2023-11-07,67.0,2280
2023-11-07,26.0,4157
2023-11-07,78.0,5156
2023-11-07,48.0,3528
2023-11-07,61.0,14448
2023-11-07,100.0,4514
2023-11-07,36.0,12592
2023-11-07,28.0,1179
2023-11-07,25.0,27099
2023-11-07,30.0,9188
2023-11-08,8.0,12511
2023-11-08,97.0,12282
2023-11-08,52.0,8419
2023-11-08,31.0,11068
2023-11-08,49.0,12690
2023-11-08,48.0,12302
2023-11-08,100.0,6442
2023-11-08,28.0,1573
2023-11-08,37.0,31509
2023-11-08,67.0,1840
2023-11-08,80.0,11743
2023-11-08,78.0,2157
2023-11-08,5.0,7549
2023-11-08,17.0,6753
2023-11-08,36.0,15643
2023-11-08,25.0,25290
2023-11-09,52.0,13545
2023-11-09,97.0,12695
2023-11-09,36.0,14380
2023-11-09,28.0,843
2023-11-09,8.0,8953
2023-11-09,49.0,10084
2023-11-09,37.0,20773
2023-11-09,17.0,5464
2023-11-07,44.0,23251
